trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
91,0,91,0,5,190.05319319997216,190.05319319997216,0.011931699991691858,[-0.11944444444444445],[0.012037037037037037],[1],[0],[0],[1.6004615999991074],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
92,0,92,0,5,191.66946559998905,191.66946559998905,0.011860500031616539,[-0.025],[-0.3416666666666667],[1],[0],[0],[1.916965899989009],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
93,0,93,0,10,193.62600569997448,193.62600569997448,0.030399999988730997,[-0.13518518518518519],[-0.29259259259259257],[1],[0],[0],[1.629375699965749],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
94,0,94,0,10,195.28593739995267,195.28593739995267,0.025596800027415156,[-0.14814814814814814],[0.14907407407407408],[1],[0],[0],[1.5367660999763757],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
95,0,95,0,5,196.83916699996917,196.83916699996917,0.015443699958268553,[0.1675925925925926],[0.10462962962962963],[1],[0],[0],[1.5637653000303544],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
96,0,96,0,10,198.43727189995116,198.43727189995116,0.02535329997772351,[0.12222222222222222],[0.2],[1],[0],[0],[1.4519769999897107],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
97,0,97,0,10,199.91392039996572,199.91392039996572,0.021744700032286346,[0.1685185185185185],[0.41203703703703703],[1],[0],[0],[1.8577957000234164],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
98,0,98,0,10,201.79761690000305,201.79761690000305,0.021827599965035915,[0.3925925925925926],[0.05277777777777778],[1],[0],[0],[2.2913649000111036],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
99,0,99,0,10,204.11364649998723,204.11364649998723,0.021447200037073344,[-0.07685185185185185],[0.4083333333333333],[1],[0],[0],[1.7753711000550538],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
100,0,100,0,5,205.89906779996818,205.89906779996818,0.011379199975635856,[-0.06759259259259259],[0.25092592592592594],[1],[0],[0],[1.5692878999980167],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
101,0,101,0,5,207.484582999954,207.484582999954,0.012115799996536225,[0.22685185185185186],[-0.3314814814814815],[1],[0],[0],[1.7331321999663487],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
102,0,102,0,10,209.2462015999481,209.2462015999481,0.02145379997091368,[0.030555555555555555],[-0.2101851851851852],[1],[0],[0],[1.574937500001397],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
103,0,103,0,10,210.84580680000363,210.84580680000363,0.02180039999075234,[0.4740740740740741],[0.23425925925925925],[1],[0],[0],[2.3086632000049576],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
104,0,104,0,5,213.1656085999566,213.1656085999566,0.01139349996810779,[-0.21944444444444444],[0.4898148148148148],[1],[0],[0],[2.185189599986188],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
105,0,105,0,5,215.36845019995235,215.36845019995235,0.012669400020968169,[-0.06759259259259259],[-0.33611111111111114],[1],[0],[0],[1.8977148999692872],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
106,0,106,0,10,217.29602710000472,217.29602710000472,0.021669399982783943,[-0.22870370370370371],[0.42592592592592593],[1],[0],[0],[1.6080252999672666],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
107,0,107,0,10,218.93079670000589,218.93079670000589,0.023691300011705607,[-0.1787037037037037],[-0.010185185185185186],[1],[0],[0],[1.4723528000176884],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
108,0,108,0,5,220.4149092999869,220.4149092999869,0.011306900007184595,[-0.06111111111111111],[-0.20462962962962963],[1],[0],[0],[1.7521737000206485],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
109,0,109,0,5,222.18292589997873,222.18292589997873,0.012230799999088049,[-0.35462962962962963],[0.39444444444444443],[1],[0],[0],[1.716706199978944],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
