trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
173,0,173,0,5,335.0090005999664,335.0090005999664,0.016715000034309924,[-0.41944444444444445],[-0.49907407407407406],[1],[0],[0],[1.7760998000157997],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
174,0,174,0,10,336.82542509998893,336.82542509998893,0.030814099998679012,[0.19166666666666668],[-0.27685185185185185],[1],[0],[0],[1.8466028000111692],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
175,0,175,0,10,338.69634729996324,338.69634729996324,0.021137400006409734,[-0.05925925925925926],[-0.13240740740740742],[1],[0],[0],[1.5086318000103347],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
176,0,176,0,5,340.2177919999813,340.2177919999813,0.012404799985233694,[0.13703703703703704],[-0.044444444444444446],[1],[0],[0],[1.1674769000383094],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
177,0,177,0,5,341.4035931999679,341.4035931999679,0.013304300024174154,[-0.4222222222222222],[0.19166666666666668],[1],[0],[0],[1.513288099959027],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
178,0,178,0,10,342.94733819999965,342.94733819999965,0.02161950001027435,[0.09351851851851851],[0.30648148148148147],[1],[0],[0],[2.623555400001351],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
179,0,179,0,10,345.5949718999909,345.5949718999909,0.021630400035064667,[-0.32685185185185184],[0.42962962962962964],[1],[0],[0],[1.6081474000238813],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
180,0,180,0,5,347.21617269999115,347.21617269999115,0.011912899964954704,[-0.4009259259259259],[-0.337037037037037],[1],[0],[0],[1.8178173000342213],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
181,0,181,0,10,349.0723110999679,349.0723110999679,0.028824099979829043,[-0.45092592592592595],[0.3287037037037037],[1],[0],[0],[1.5646408000029624],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
182,0,182,0,10,350.66102129995124,350.66102129995124,0.021407300024293363,[0.16666666666666666],[0.08981481481481482],[1],[0],[0],[1.6756187000428326],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
183,0,183,0,5,352.34817359998124,352.34817359998124,0.011844799970276654,[0.18333333333333332],[-0.10648148148148148],[1],[0],[0],[1.668437099957373],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
184,0,184,0,5,354.0322600999498,354.0322600999498,0.012441899976693094,[0.37407407407407406],[-0.4009259259259259],[1],[0],[0],[2.5510712999966927],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
185,0,185,0,5,356.5977702999953,356.5977702999953,0.012119100021664053,[-0.34629629629629627],[0.375],[1],[0],[0],[2.2170176000217907],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
186,0,186,0,10,358.84599479997996,358.84599479997996,0.022186600021086633,[-0.30185185185185187],[-0.3675925925925926],[1],[0],[0],[2.006563799979631],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
187,0,187,0,10,360.8771359999664,360.8771359999664,0.021595600002910942,[0.24074074074074073],[-0.13796296296296295],[1],[0],[0],[1.9590021000476554],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
188,0,188,0,5,362.8464541999856,362.8464541999856,0.011415100016165525,[0.16018518518518518],[0.0712962962962963],[1],[0],[0],[1.435045899997931],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
189,0,189,0,10,364.3153588999994,364.3153588999994,0.025477099989075214,[-0.3287037037037037],[0.31851851851851853],[1],[0],[0],[1.6210563000058755],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
190,0,190,0,5,365.9472966999747,365.9472966999747,0.012146399996709079,[-0.021296296296296296],[0.37037037037037035],[1],[0],[0],[1.7838370999670587],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
191,0,191,0,10,367.7621042999672,367.7621042999672,0.021826200012583286,[0.07777777777777778],[-0.16944444444444445],[1],[0],[0],[1.6079876000294462],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
192,0,192,0,10,369.3928986999672,369.3928986999672,0.02107570000225678,[-0.27685185185185185],[-0.2361111111111111],[1],[0],[0],[1.8083122000098228],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
193,0,193,0,5,371.2125875999918,371.2125875999918,0.01236699998844415,[-0.35185185185185186],[0.175],[1],[0],[0],[1.6014397999970242],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
194,0,194,0,10,372.84204399999,372.84204399999,0.02164789999369532,[0.42685185185185187],[0.3416666666666667],[1],[0],[0],[1.7917592999874614],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
195,0,195,0,10,374.65783280000323,374.65783280000323,0.021279600041452795,[-0.4685185185185185],[0.32222222222222224],[1],[0],[0],[1.8420092000160366],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
196,0,196,0,5,376.516776799981,376.516776799981,0.01599380001425743,[-0.3194444444444444],[-0.1787037037037037],[1],[0],[0],[2.4963694000034593],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
197,0,197,0,5,379.0307736999821,379.0307736999821,0.012238700001034886,[0.10185185185185185],[0.31851851851851853],[1],[0],[0],[1.9488765000132844],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
198,0,198,0,10,381.0085379999946,381.0085379999946,0.02297799999359995,[-0.11481481481481481],[0.18703703703703703],[1],[0],[0],[1.223941600008402],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
199,0,199,0,10,382.2584026999539,382.2584026999539,0.021519100002478808,[-0.35],[0.3712962962962963],[1],[0],[0],[1.7425717000151053],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
