reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
11,30,7,0,0,0,0,116.7618864000251,117.65025320000132,117.65025320000132,117.76692520000506,t,1.5704159000015352,441801,001,2022-10-21_11h45.23.960,Delay Discounting Task,2022.2.2,60.01630043254109,
49,60,89,0,1,1,4,119.25733420002507,120.25030280000647,120.25030280000647,120.26673530001426,l,0.5221009999804664,441801,001,2022-10-21_11h45.23.960,Delay Discounting Task,2022.2.2,60.01630043254109,
40,55,62,0,2,2,3,120.80009270002483,121.80017420000513,121.80017420000513,121.80017420000513,t,2.1088812999951188,441801,001,2022-10-21_11h45.23.960,Delay Discounting Task,2022.2.2,60.01630043254109,
67,75,119,0,3,3,5,123.93490439999732,124.93299230001867,124.93299230001867,124.94959370000288,l,0.32736429999931715,441801,001,2022-10-21_11h45.23.960,Delay Discounting Task,2022.2.2,60.01630043254109,
78,80,162,0,4,4,6,125.28268150001531,126.28256040002452,126.28256040002452,126.28256040002452,t,0.43014680000487715,441801,001,2022-10-21_11h45.23.960,Delay Discounting Task,2022.2.2,60.01630043254109,
27,50,21,0,5,5,2,126.73269100001198,127.73252520000096,127.73252520000096,127.73252520000096,l,0.3565686999936588,441801,001,2022-10-21_11h45.23.960,Delay Discounting Task,2022.2.2,60.01630043254109,
15,35,13,0,6,6,1,128.11583080000128,129.11577190001844,129.11577190001844,129.11577190001844,t,0.42015710001578555,441801,001,2022-10-21_11h45.23.960,Delay Discounting Task,2022.2.2,60.01630043254109,
